RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
530,Anthony Mantha,N,RW,139,PIT,31,$2.5,265.5,4.3,-232.6,-34.9,—,N/A,, ,62,15.4,16,17,33,105,2,5,0,0,31,61,-3,28,2,9,15,37%,,,,,,,,,,
166,Anthony Stolarz,N,G,25,TOR,31,$2.5,199.5,4.7,-5.6,-0.8,100.0,-66.0,, ,,,,,,,,,,,,,,,,,,,,42,24,14,5,3,"1,115",105,0.914,2.49
316,Anton Forsberg,N,G,45,L.A,32,$1.3,107.3,4.0,-97.7,-14.6,—,N/A,, ,,,,,,,,,,,,,,,,,,,,27,14,10,3,1,699,78,0.900,2.88
406,Anton Lundell,N,C,77,FLA,24,$5.0,375.8,4.7,-136.9,-20.5,—,N/A,, ,80,16.4,17,26,42,160,1,5,1,1,50,93,6,35,3,500,460,52%,,,,,,,,,,
278,Anze Kopitar,N,C,55,L.A,38,$7.0,437.2,5.4,-75.5,-11.3,161.0,-117.0,, ,82,18.3,21,40,61,120,5,19,0,1,62,39,3,11,3,833,651,56%,,,,,,,,,,
583,Arseny Gritsyuk,N,RW,160,N.J,23,$0.9,216.9,3.5,-281.2,-42.1,—,N/A,, ,62,13.0,9,14,24,92,2,4,0,0,26,62,3,18,2,0,0,0%,,,,,,,,,,
269,Artem Zub,N,D,123,OTT,30,$4.6,253.9,3.5,-68.9,-10.3,—,N/A,, ,73,20.4,4,16,20,78,0,0,0,1,136,99,2,40,1,0,0,0%,,,,,,,,,,
28,Artemi Panarin,N,LW,7,NYR,34,$11.6,611.8,7.5,130.2,19.5,25.0,-3.0,, ,82,19.8,37,55,92,244,8,29,0,0,16,25,4,27,6,1,4,11%,,,,,,,,,,
361,Artturi Lehkonen,N,"LW,RW",79,COL,30,$4.5,362.6,5.2,-119.1,-17.8,179.0,-182.0,, ,70,19.2,24,23,47,150,4,9,1,1,37,46,8,30,4,7,13,33%,,,,,,,,,,
299,Arturs Silovs,N,G,42,PIT,24,$0.9,116.1,3.6,-89.0,-13.3,—,N/A,, ,,,,,,,,,,,,,,,,,,,,32,13,14,5,1,869,100,0.897,3.12
168,Artyom Levshunov,N,D,63,CHI,20,$1.0,316.1,4.1,-6.7,-1.0,—,N/A,, ,78,20.7,5,28,33,108,1,11,0,0,106,94,-8,37,1,0,0,0%,,,,,,,,,,
321,Arvid Soderblom,N,G,46,CHI,26,$2.8,105.9,3.5,-99.2,-14.9,—,N/A,, ,,,,,,,,,,,,,,,,,,,,30,11,14,5,1,825,95,0.897,3.16
5,Auston Matthews,N,C,3,TOR,28,$13.3,792.2,10.1,279.5,41.9,9.0,4.0,,+,78,21.8,50,50,100,339,14,30,1,2,99,70,9,23,8,786,656,54%,,,,,,,,,,
592,Barclay Goodrow,N,C,162,S.J,33,$3.6,222.5,2.8,-290.2,-43.5,—,N/A,, ,81,13.4,5,7,12,78,0,0,1,1,68,154,-11,58,1,171,191,47%,,,,,,,,,,
