RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
50,Alex DeBrincat,Y,"LW,RW",14,DET,28,$7.9,387.2,4.6,52.4,4.2,42.1,-7.9,, ,84,18.4,37,40,78,273,13,24,0,0,40,44,1,29,6,21,30,41%,,,,,,,,,,
51,MacKenzie Weegar,N,D,19,UTA,32,$6.3,295.9,3.5,52.1,4.2,110.3,59.3,, ,83,22.5,6,26,33,153,1,8,0,1,180,170,-1,49,1,0,0,0%,,,,,,,,,,
52,Noah Dobson,Y,D,20,MTL,26,$9.5,295.6,3.6,51.8,4.1,96.3,44.3,, ,82,23.1,11,37,47,171,1,8,0,1,174,67,3,37,2,0,0,0%,,,,,,,,,,
53,Tim Stützle,Y,"C,LW",15,OTT,24,$8.4,379.8,4.6,51.0,4.1,47.2,-5.8,, ,83,20.0,29,50,79,194,6,28,1,1,46,122,3,38,5,298,303,50%,,,,,,,,,,
54,Jet Greaves,,G,4,CBJ,25,$5.0,244.4,4.4,45.7,3.7,123.9,69.9,, ,,,,,,,,,,,,,,,,,,,,55,29,19,6,4,"1,471",149,0.908,2.70
55,Adrian Kempe,Y,RW,15,L.A,29,$10.6,379.5,4.6,44.7,3.6,52.7,-2.3,, ,83,19.2,34,41,75,239,6,17,0,1,39,116,1,51,5,42,73,37%,,,,,,,,,,
56,Mika Zibanejad,Y,"C,RW",16,NYR,33,$8.5,379.2,4.5,44.4,3.5,91.9,35.9,, ,84,21.0,29,46,75,224,12,30,1,3,52,87,-1,23,5,596,562,52%,,,,,,,,,,
57,Jake Oettinger,,G,5,DAL,27,$8.3,242.0,4.4,43.2,3.5,24.6,-32.4,, ,,,,,,,,,,,,,,,,,,,,55,32,17,6,4,"1,395",146,0.906,2.65
58,Dylan Larkin,Y,C,20,DET,30,$8.7,371.1,4.6,42.6,3.4,93.3,35.3,, ,81,20.3,33,38,71,243,13,26,1,1,38,52,-2,40,5,880,747,54%,,,,,,,,,,
59,John Carlson,N,D,21,T.B,36,$8.5,285.8,3.5,42.0,3.4,85.1,26.1,,+,82,22.2,8,47,54,165,2,18,0,0,116,48,9,32,1,0,1,0%,,,,,,,,,,
60,Igor Shesterkin,,G,6,NYR,30,$11.5,240.5,4.4,41.8,3.3,39.6,-20.4,, ,,,,,,,,,,,,,,,,,,,,55,28,20,7,4,"1,475",149,0.908,2.70
61,Mikhail Sergachev,Y,D,22,UTA,28,$8.5,284.7,3.7,40.9,3.3,93.0,32.0,, ,78,24.1,11,42,53,145,4,23,0,1,129,53,0,41,2,0,0,0%,,,,,,,,,,
62,Dylan Holloway,Y,"C,LW",16,STL,24,$7.8,369.2,4.9,40.5,3.2,105.6,43.6,, ,75,18.7,29,40,70,207,7,16,0,0,50,152,2,26,4,41,43,49%,,,,,,,,,,
63,Miro Heiskanen,Y,D,23,DAL,27,$8.5,284.0,3.7,40.2,3.2,72.6,9.6,, ,78,25.2,9,45,54,153,2,20,1,1,133,38,7,30,2,0,0,0%,,,,,,,,,,
64,Juuse Saros,,G,7,NSH,31,$7.7,238.4,4.0,39.7,3.2,113.7,49.7,, ,,,,,,,,,,,,,,,,,,,,60,27,24,8,3,"1,623",177,0.902,2.95
65,Sam Reinhart,Y,RW,17,FLA,30,$8.6,373.1,4.6,38.3,3.1,43.1,-21.9,, ,80,20.2,38,39,77,204,14,28,3,4,52,81,5,23,6,118,171,41%,,,,,,,,,,
66,Sebastian Aho,Y,C,23,CAR,29,$9.8,366.7,4.4,38.1,3.1,81.4,15.4,, ,83,19.5,30,50,80,208,7,25,2,5,28,65,8,40,5,642,569,53%,,,,,,,,,,
67,Artemi Panarin,y,LW,19,L.A,34,$11.0,366.8,4.4,38.1,3.0,49.7,-17.3,,- -,83,21.2,31,54,85,246,7,27,0,0,19,19,2,25,5,1,1,44%,,,,,,,,,,
68,Ilya Sorokin,,G,8,NYI,31,$8.3,235.6,4.3,36.9,3.0,35.6,-32.4,, ,,,,,,,,,,,,,,,,,,,,55,25,23,8,3,"1,560",159,0.908,2.89
69,Adam Fantilli,Y,C,24,CBJ,21,$0.0,364.9,4.5,36.4,2.9,93.9,24.9,,+,81,19.6,32,38,70,231,6,17,0,0,51,123,0,33,5,507,601,46%,,,,,,,,,,
70,Erik Karlsson,N,D,24,PIT,36,$10.0,279.1,3.4,35.3,2.8,75.1,5.1,, ,83,23.9,9,44,53,181,2,20,0,0,92,38,1,32,1,0,0,0%,,,,,,,,,,
71,Shea Theodore,Y,D,25,VGK,31,$7.4,278.0,3.6,34.2,2.7,100.7,29.7,, ,76,24.6,9,51,60,154,3,22,0,0,101,16,7,30,2,0,0,0%,,,,,,,,,,
72,J.T. Miller,Y,"C,LW,RW",18,NYR,33,$8.0,369.0,4.6,34.2,2.7,112.2,40.2,, ,80,19.9,23,46,69,170,6,22,0,2,47,154,0,50,4,676,469,59%,,,,,,,,,,
73,Brandon Hagel,Y,"LW,RW",19,T.B,28,$6.5,368.3,4.5,33.5,2.7,37.2,-35.8,, ,82,20.0,34,47,81,229,3,12,1,3,49,55,12,56,6,25,39,39%,,,,,,,,,,
74,Thomas Harley,N,D,26,DAL,25,$10.9,277.1,3.4,33.3,2.7,115.0,41.0,,+,81,22.7,13,37,49,152,1,11,0,0,143,47,7,26,2,0,0,0%,,,,,,,,,,
75,Dougie Hamilton,N,D,27,N.J,33,$9.0,276.0,3.7,32.2,2.6,108.3,33.3,, ,74,22.6,9,30,40,198,4,15,0,0,94,87,1,48,1,0,0,0%,,,,,,,,,,
76,Clayton Keller,Y,"LW,RW",20,UTA,28,$7.2,365.8,4.4,30.9,2.5,45.1,-30.9,, ,83,19.1,29,57,86,229,6,30,0,0,33,15,3,35,5,15,24,38%,,,,,,,,,,
77,Filip Hronek,N,D,28,VAN,28,$7.3,274.5,3.4,30.7,2.5,138.5,61.5,, ,81,25.2,7,41,48,136,2,15,0,0,108,118,-8,39,1,0,0,28%,,,,,,,,,,
78,Jake Guentzel,Y,"LW,RW",21,T.B,31,$9.0,364.4,4.4,29.6,2.4,33.7,-44.3,, ,82,19.0,35,46,80,219,10,29,0,0,39,41,10,32,6,154,208,43%,,,,,,,,,,
79,Kirill Marchenko,Y,RW,22,CBJ,26,$3.9,363.7,4.4,28.9,2.3,60.4,-18.6,, ,82,19.2,31,43,74,234,7,25,0,0,43,63,4,29,5,10,16,40%,,,,,,,,,,
80,Jeremy Swayman,,G,9,BOS,27,$8.3,226.5,4.1,27.8,2.2,64.9,-15.1,, ,,,,,,,,,,,,,,,,,,,,55,27,21,7,3,"1,476",158,0.904,2.86
81,John Gibson,,G,10,DET,33,$6.4,226.3,4.1,27.6,2.2,138.3,57.3,, ,,,,,,,,,,,,,,,,,,,,55,27,21,7,3,"1,461",155,0.904,2.82
82,Mark Scheifele,Y,C,25,WPG,33,$8.5,356.1,4.3,27.6,2.2,35.2,-46.8,,-,83,21.5,33,55,88,180,8,21,0,0,51,49,2,42,6,636,690,48%,,,,,,,,,,
83,Bowen Byram,N,D,29,CHI,25,$6.3,271.3,3.3,27.5,2.2,112.0,29.0,,+,83,25.5,13,41,54,137,2,14,0,1,115,66,-8,50,2,0,0,0%,,,,,,,,,,
84,Juraj Slafkovsky,Y,"LW,RW",23,MTL,22,$7.6,362.1,4.3,27.2,2.2,52.7,-31.3,, ,84,18.7,27,42,70,180,12,24,0,0,73,131,4,48,5,18,33,35%,,,,,,,,,,
85,Karel Vejmelka,,G,11,UTA,30,$4.8,224.6,4.1,25.9,2.1,69.2,-15.8,, ,,,,,,,,,,,,,,,,,,,,55,29,20,7,3,"1,430",156,0.902,2.84
86,Andrei Svechnikov,Y,"LW,RW",24,CAR,26,$7.8,360.2,4.5,25.4,2.0,118.9,32.9,, ,80,17.5,28,39,67,205,10,25,0,0,22,151,6,63,5,7,12,39%,,,,,,,,,,
87,Dylan Cozens,Y,C,26,OTT,25,$7.1,353.7,4.2,25.2,2.0,135.9,48.9,, ,84,16.9,24,33,57,202,9,22,0,0,32,195,3,43,4,469,460,50%,,,,,,,,,,
88,Lucas Raymond,Y,RW,25,DET,24,$8.1,359.8,4.3,25.0,2.0,69.5,-18.5,,+,84,18.8,30,55,85,191,8,32,0,0,33,50,-2,26,5,2,2,55%,,,,,,,,,,
89,Brock Faber,N,D,30,MIN,24,$8.5,268.5,3.2,24.7,2.0,83.5,-5.5,, ,83,24.9,13,32,45,161,1,8,1,1,147,43,3,32,2,0,0,0%,,,,,,,,,,
90,Leo Carlsson,Y,C,27,ANA,21,$18.0,353.0,4.5,24.5,2.0,43.3,-46.7,,+ +,78,21.7,37,49,86,233,7,22,2,4,42,27,-2,29,5,485,688,41%,,,,,,,,,,
