RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
39,Dylan Cozens,Y,C,28,OTT,25,$7.1,579.3,6.9,223.7,17.9,135.9,96.9,, ,84,16.9,24,33,57,202,9,22,0,0,32,195,3,43,4,469,460,50%,,,,,,,,,,
40,Logan Cooley,Y,C,29,UTA,22,$10.0,578.0,7.4,222.4,17.8,118.2,78.2,,+ +,78,19.2,35,43,79,183,11,25,1,1,39,77,2,40,6,397,531,43%,,,,,,,,,,
41,Matthew Tkachuk,Y,"LW,RW",10,FLA,28,$9.5,640.1,8.3,222.0,17.8,33.3,-7.7,, ,77,18.8,29,53,83,237,10,31,0,0,23,96,5,64,5,6,14,29%,,,,,,,,,,
42,Lane Hutson,Y,D,8,MTL,22,$8.9,611.7,7.3,220.7,17.7,20.0,-22.0,, ,84,23.7,12,66,78,128,2,27,0,0,132,39,9,38,2,0,0,0%,,,,,,,,,,
43,Tage Thompson,Y,"C,RW",11,BUF,28,$7.1,633.7,7.7,215.6,17.2,29.7,-13.3,, ,82,19.1,40,38,79,273,8,23,0,0,44,81,2,35,6,384,489,44%,,,,,,,,,,
44,William Nylander,Y,"C,RW",12,TOR,30,$11.5,633.1,7.8,215.0,17.2,42.8,-1.2,, ,81,20.1,39,53,92,236,10,29,0,0,32,22,2,26,5,52,63,45%,,,,,,,,,,
45,Roope Hintz,Y,C,30,DAL,29,$8.5,569.8,7.3,214.2,17.1,116.2,71.2,, ,78,18.2,28,42,70,192,9,26,0,1,37,76,8,30,5,555,432,56%,,,,,,,,,,
46,Mika Zibanejad,Y,"C,RW",13,NYR,33,$8.5,622.8,7.4,204.7,16.4,91.9,45.9,, ,84,21.0,29,46,75,224,12,30,1,3,52,87,-1,23,5,596,562,52%,,,,,,,,,,
47,Cole Caufield,Y,"LW,RW",14,MTL,25,$7.9,622.5,7.4,204.4,16.4,18.6,-28.4,, ,84,18.2,42,38,80,267,11,26,0,0,26,57,6,19,7,7,11,38%,,,,,,,,,,
48,Sam Reinhart,Y,RW,15,FLA,30,$8.6,622.4,7.7,204.3,16.3,43.1,-4.9,, ,80,20.2,38,39,77,204,14,28,3,4,52,81,5,23,6,118,171,41%,,,,,,,,,,
